PI,Diploid,Haploid,Haploid_frailty
SHGD_DH_194,54.16666667,32.5,0.40227704
SHGD_DH_195,47.5,30.83333333,0.351851852
SHGD_DH_196,92.5,68.33333333,0.262199089
SHGD_DH_197,74.16666667,44.16666667,0.40530303
SHGD_DH_198,93.33333335,57.5,0.386210222
SHGD_DH_200,78.33333333,50.83333334,0.351818182
SHGD_DH_201,83.16666667,47.5,0.428435902
SHGD_DH_202,84.16666667,64.66666667,0.231568628
SHGD_DH_203,67.5,48.33333334,0.273153943
SHGD_DH_204,80,57.5,0.282173913
SHGD_DH_210,90.83333333,74.16666667,0.177118644
SHGD_DH_211,77.5,20.83333334,0.742296919
SHGD_DH_214,84.16666667,55,0.345882353
SHGD_DH_217,59.16666667,37.5,0.361965812
SHGD_DH_218,80.83333333,64.16666667,0.196397942
SHGD_DH_220,60.83333334,26.66666667,0.56006006
SHGD_DH_221,62.5,45.83333334,0.257575758
SHGD_DH_223,71.66666667,40,0.441860465
SHGD_DH_224,47.5,38.33333333,0.190740741
SHGD_DH_225,88.33333334,65,0.26460114
